frame_id,x,y,z
world,-58.728,1.087,6.531
world,-58.734,1.081,6.466
world,-58.720,1.092,6.534
world,-597.577,-8.965,5.608
world,-598.515,-7.958,3.977
world,-58.723,1.086,6.499
world,-597.751,-9.783,5.876
world,-58.721,1.087,6.503
world,-598.414,-9.246,5.996
world,-58.726,1.086,6.531
world,-597.964,-8.810,5.564
world,-598.474,-8.707,6.326
world,-58.727,1.081,6.461
world,-58.733,1.082,6.498
world,-58.736,1.081,6.498
world,-598.250,-8.386,4.750
world,-58.719,1.086,6.503
world,-598.252,-7.911,4.300
world,-58.731,1.077,6.466
world,-597.830,-8.713,4.401
world,-1042.852,-157.700,-37.118
world,-58.731,1.084,6.496
world,-598.569,-8.182,4.982
world,-58.728,1.085,6.530
world,-598.483,-9.188,5.927
world,-58.729,1.082,6.497
world,-597.920,-8.152,4.640
